title,start_year,end_year,genre,plot_summary,rating,votes,run_time,gross,production_type,actors,director
2006 Independent Spirit Awards,2006,,,,6.6,83,109,,TV Special,"['Sarah Silverman', 'Hany Abu-Assad', 'Amy Adams', 'Shohreh Aghdashloo']",['Chris Donovan']
2020 Golden Globe Awards,2020,,['Comedy'],Comedian Ricky Gervais brutally roasts Hollywood and exposes their hypocrisy.,7.2,703,134,,TV Special,"['Ricky Gervais', 'Jennifer Aniston', 'Reese Witherspoon', 'Michael Douglas']",['Louis J. Horvitz']
2067,2020,,['Sci-Fi'],One man's journey to the future to save a dying world.,4.9,6977,114,,,"['Aaron Glenane', 'Kodi Smit-McPhee', 'Ryan Kwanten', 'Finn Little']",['Seth Larney']
21 Days Under the Sky,2016,,['Documentary'],"4 bikers pull an ""Easy rider"". How it used to be or at least how it was for me.",6.7,252,70,,,"['Troy Critchlow', 'Gentry Dayton', 'Tom Fugle', 'Ryan Grossman']",['Michael Schmidt']
21 Sarfarosh Saragarhi 1897,2018,Ongoing,['War'],A chronicle of the lives and events that led to the brave and epic last stand of the 21 soldiers of the 36th Sikh regiment of the British Indian Army against thousands of Afghani invaders in the September of 1897.,8.2,364,18,,,"['Harry Chauhan', 'Paras Raajj Ganndhhi', 'Sooraj Ohri', 'Mohit Raina']",
21 Thunder,2017,Ongoing,['Drama'],"In the cutthroat world of pro soccer, a club lives and dies by the stars on its under-21 team. They are the future and lifeblood of any franchise, but most will never make it. 21 THUNDER is...",6.2,979,60,,,"['Stephanie Bennett', 'Emmanuel Kabongo', 'Andres Joseph', 'Kevin Claydon']",
22 July,2018,,"['Crime', 'Drama', 'History']","A three-part story of Norway's worst terrorist attack in which over seventy people were killed. 22 July looks at the disaster itself, the survivors, Norway's political system and the lawyers who worked on this horrific case.",6.8,30905,143,,,"['Anders Danielsen Lie', 'Jonas Strand Gravli', 'Jon Øigarden', 'Maria Bock']",['Paul Greengrass']
22nd Annual Mark Twain Prize for American Humor celebrating: Dave Chappelle,2020,,['Comedy'],"An all-star lineup of entertainers salute and celebrate the career achievements of comedian Dave Chappelle, the recipient of the 22nd Annual Mark Twain Prize for American Humor. The event ...",7.5,1715,90,,TV Special,"['Dave Chappelle', 'Mohammed Amer', 'Aziz Ansari', 'Erykah Badu']",['Chris Robinson']
23:59,2011,,['Horror'],"An army recruit was found dead during a 24km road march. After the death of the recruit, strange things started to happen, haunting all the soldiers in the barracks.",4.6,903,78,,,"['Tedd Chan', 'Stella Chung', 'Philip Hersh', 'Henley Hii']",['Gilbert Chan']
26 nyeon,2012,,"['Drama', 'Thriller']","26 years ago, state troops were ordered to open fire on civilians in the city of Gwangju who were demonstrating as apart of a democratic movement. Thousands of civilians were killed. Now, a...",6.3,1054,135,,,"['Jin Goo', 'Hye-jin Han', 'Soo-bin Bae', 'Seul-ong Im']",['Geun-hyun Cho']
2:22,2008,,"['Crime', 'Drama', 'Thriller']","The plan was easy; the job was not. On a snowy night a tight crew of four criminals plan to pull off a routine heist. When things go horribly wrong, friendship, loyalty and trust are pushed to the limit.",5.2,1361,104,,,"['Mick Rossi', 'Robert Miano', 'Aaron Gallagher', 'Jorge A. Jimenez']",['Phillip Guzman']
