title,start_year,end_year,genre,plot_summary,rating,votes,run_time,gross,production_type,actors,director
Gojira shingyura pointo,2021,Ongoing,"['Animation', 'Action', 'Adventure']","Jack-of-all-trades Yun and Haberu investigate sound emanating from an empty mansion. They locate the source nearby, while Mei hears the same tune.",6.7,101,,,Series,"['Yume Miyamoto', 'Shoya Ishige', 'Yôhei Azakami', 'Beau Billingslea']","['Noriyuki Nomata', 'Takuma Suzuki']"
History of Swear Words,2021,Ongoing,"['Documentary', 'Comedy']","The silly putty of the English language, our most malleable swear word can refer to sex, rage, confusion, excitement and a whole lot more.",7.1,488,21,,Series,"['Nicolas Cage', 'Joel Kim Booster', 'DeRay Davis', 'Open Mike Eagle']","[""Ves D'Elia""]"
History of Swear Words,2021,Ongoing,"['Documentary', 'Comedy']","With medieval roots as a term for excrement, this filthy vulgarity evolved over time into something much more versatile - and sometimes even positive.",6.8,373,21,,Series,"['Joel Kim Booster', 'DeRay Davis', 'Nikki Glaser', 'Patti Harrison']","[""Ves D'Elia""]"
History of Swear Words,2021,Ongoing,"['Documentary', 'Comedy']","Though it literally means ""female dog"", in recent years, some women have started to reclaim the ""B word"" as a term of strength and solidarity.",6.4,351,21,,Series,"['Nicolas Cage', 'Joel Kim Booster', 'Nikki Glaser', 'Patti Harrison']","[""Ves D'Elia""]"
History of Swear Words,2021,Ongoing,"['Documentary', 'Comedy']","You can have one or you can be one. But how did an unassuming nickname for ""Richard"" become one of our most popular swear words?",6.9,301,21,,Series,"['Nicolas Cage', 'Joel Kim Booster', 'DeRay Davis', 'Nikki Glaser']","[""Ves D'Elia""]"
History of Swear Words,2021,Ongoing,"['Documentary', 'Comedy']","From its feline origins to its modern slang uses describing genitalia or insulting manhood, learn how ""pu**y"" has stood the test of time.",6.7,279,,,Series,"['Nicolas Cage', 'DeRay Davis', 'Nikki Glaser', 'Patti Harrison']","[""Ves D'Elia""]"
History of Swear Words,2021,Ongoing,"['Documentary', 'Comedy']","Though quite mild when compared with its profane brethren, ""damn"" has maintained its meaning from biblical times and can still pack a punch even today.",6.8,263,,,Series,"['Nicolas Cage', 'DeRay Davis', 'Nikki Glaser', 'London Hughes']","[""Ves D'Elia""]"
Son of Abish,2014,Ongoing,"['Comedy', 'Talk-Show']","On the fifth episode of Son Of Abish Season 8, Vir, Rohan and Abish give us friendship goals, reasons to eat Missal Paav, jail time stories and non-stop entertainment.",,,,,Series,"['Abish Mathew', 'Vir Das', 'Rohan Joshi', 'Shreeja Chaturvedi']",
Gojira shingyura pointo,2021,Ongoing,"['Animation', 'Action', 'Adventure']","Yun, Goro, and the robot Jet Jaguar clash with the hostile pterosaur-like monster Rodan. Mei travels to Tokyo to meet with a world renowned researcher.",7.2,79,,,Series,,"['Takuma Suzuki', 'Daisuke Tsukushi']"
Gojira shingyura pointo,2021,Ongoing,"['Animation', 'Action', 'Adventure']","A legion of Rodan swarm towards Nigashio. The Otaki Factory crew scramble to lure them away from the city, but soon find themselves surrounded.",7.3,73,,,Series,,"['Noriyuki Nomata', 'Takuma Suzuki']"
Gojira shingyura pointo,2021,Ongoing,"['Animation', 'Action', 'Adventure']","Yun and Haberu deduce that Misakioku may be linked to the Rodan incursion. Mei attends Li's lecture in Dubai, where the professor reveals new material.",6.9,67,,,Series,,"['Takuma Suzuki', 'Tsuyoshi Tobita']"
Gojira shingyura pointo,2021,Ongoing,"['Animation', 'Action', 'Adventure']","Salunga emerges from the depths of the Upala research station shrouded in red dust. Meanwhile, Yun observes Anguirus exhibiting an uncanny ability.",7.4,67,,,Series,,"['Satoshi Nakagawa', 'Takuma Suzuki']"
Gojira shingyura pointo,2021,Ongoing,"['Animation', 'Action', 'Adventure']",Mei discovers a mysterious code in Professor Ashihara's research. The Otaki crew confront Anguirus as part of the city's extermination efforts.,7.5,64,,,Series,,"['Shûji Miyahara', 'Takuma Suzuki', 'Daisuke Tsukushi']"
Gojira shingyura pointo,2021,Ongoing,"['Animation', 'Action', 'Adventure']","Following a group of Manda, a giant monster makes landfall in Tokyo. Red dust forces Mei and Professor Li's flight to London to divert to Milan.",7.4,60,,,Series,,"['Shûji Miyahara', 'Takuma Suzuki', 'Daisuke Tsukushi']"
Gojira shingyura pointo,2021,Ongoing,"['Animation', 'Action', 'Adventure']","Ground forces under the command of Matsubara respond to Godzilla's attack on Tokyo. Now in London, Mei attempts to decipher Ashihara's research.",7.2,53,,,Series,['Cristina Valenzuela'],"['Shûji Miyahara', 'Noriyuki Nomata', 'Takuma Suzuki']"
Gojira shingyura pointo,2021,Ongoing,"['Animation', 'Action', 'Adventure']","Godzilla continues to advance on Tokyo, covering the city in red dust. The Otaki crew rushes to rescue a person ensnared by spider-like monster.",7.5,51,,,Series,['Cristina Valenzuela'],"['Daisuke Chiba', 'Takuma Suzuki', 'Atsushi Takahashi']"
Gojira shingyura pointo,2021,Ongoing,"['Animation', 'Action', 'Adventure']","Back at Ashihara's mansion, Yun and Haberu attempt to decipher the professor's research using Jet Jaguar. In India, Lina takes Mei to meet with BB.",7.5,50,,,Series,['Cristina Valenzuela'],"['Geisei Morita', 'Takuma Suzuki', 'Atsushi Takahashi']"
Gojira shingyura pointo,2021,Ongoing,"['Animation', 'Action', 'Adventure']","Before heading to the Super Dimension Calculator, BB offers Mei a view of the Singular Point. The Otaki crew leave for Tokyo to destroy Godzilla.",7.0,47,24,,Series,['Cristina Valenzuela'],['Takuma Suzuki']
Gojira shingyura pointo,2021,Ongoing,"['Animation', 'Action', 'Adventure']",Mei learns of a large explosion triggered by Ashihara's calculator long ago. Kanoko gives Matsubara the Orthogonal Diagonalizer to use against Godzilla.,7.3,50,24,,Series,['Cristina Valenzuela'],"['Nao Miyoshi', 'Noriyuki Nomata', 'Takuma Suzuki']"
Gojira shingyura pointo,2021,Ongoing,"['Animation', 'Action', 'Adventure']","Mei, BB and Pelops II attempt to prevent the Catastrophe, but Salunga ambushes them. Meanwhile, the Otaki crew make their final push toward Godzilla.",7.1,55,24,,Series,,"['Takuma Suzuki', 'Atsushi Takahashi']"
Memorias de Idhún,2020,2021,"['Animation', 'Action', 'Adventure']","When Jack tracks him down, Alsan/Alexander sees it as a sign to revive the Resistance. But things remain unsettled between Victoria and Kirtash.",7.0,7,,,Series,"['Itzan Escamilla', 'Michelle Jenner', 'Sergio Mur']",['Maite Ruiz de Austri']
Surviving Death,2021,Ongoing,"['Documentary', 'Reality-TV']",A doctor is found lifeless after going over a waterfall. Now she and others share their near-death experiences. Does consciousness expand after death?,7.3,214,51,,Series,['Payton Harbour'],['Ricki Stern']
Surviving Death,2021,Ongoing,"['Documentary', 'Reality-TV']","Poised between life and death, mediums promise a chance to commune with the departed. Can seekers cultivate that ability and find solace and healing?",4.8,174,57,,Series,,['Ricki Stern']
Surviving Death,2021,Ongoing,"['Documentary', 'Reality-TV']","A medium leads a séance, deeply moving a student. Plaster casts of ""spirit"" hands--physical manifestations of the dead--are explored.",4.5,151,50,,Series,,['Ricki Stern']
Surviving Death,2021,Ongoing,"['Documentary', 'Reality-TV']","A bird, a dancing light or a caress: Signs and messages from the dead happen all the time, mediums say. So the grieving look for ways to communicate.",6.5,116,48,,Series,,"['Ricki Stern', 'Jesse Sweet']"
Surviving Death,2021,Ongoing,"['Documentary', 'Reality-TV']","Can consciousness survive a body's demise? An investigator records eerie sounds at a historic spot, and a doctor discusses encounters with the dying.",6.7,105,53,,Series,,"['Ricki Stern', 'Jesse Sweet']"
Surviving Death,2021,Ongoing,"['Documentary', 'Reality-TV']","Vivid details and unshakeable confidence--from a 5-year-old. A child psychiatrist studies cases of past-life memories, which occur around the world.",8.1,134,52,,Series,,['Ricki Stern']
Locke & Key,2020,Ongoing,"['Drama', 'Fantasy', 'Horror']",,,,,,Series,"['Darby Stanchfield', 'Connor Jessup', 'Emilia Jones', 'Jackson Robert Scott']",
Son of Abish,2014,Ongoing,"['Comedy', 'Talk-Show']","In this episode, watch Abish seamlessly transition from one question to another to make sure there's a connection between all stories. Bassi and Dolly reveal how they manipulate their parents into approving of their profession.",,,,,Series,"['Abish Mathew', 'Dolly Singh', 'Anubhav Singh Bassi', 'Samay Raina']",
Virgin River,2019,Ongoing,"['Drama', 'Romance']","Ricky and Lizzie struggle to find privacy. Doc worries about Hope, who may be stuck in a hurricane. Mel offers Jack an enticing invitation.",7.4,205,42,,Series,"['Alexandra Breckenridge', 'Martin Henderson', 'Colin Lawrence', 'Benjamin Hollingsworth']",['Martin Wood']
Virgin River,2019,Ongoing,"['Drama', 'Romance']",Lily divulges a devastating secret to Mel. Brie gets to know Brady better and admits something to Jack. Lizzie's ex surprises her.,7.2,187,46,,Series,"['Alexandra Breckenridge', 'Martin Henderson', 'Colin Lawrence', 'Benjamin Hollingsworth']",['Monika Mitchell']
Virgin River,2019,Ongoing,"['Drama', 'Romance']","Doc and Mel help Christopher and Preacher with a medical emergency. After an angry confrontation, Jack focuses his energy on a romantic gesture.",7.6,171,47,,Series,"['Alexandra Breckenridge', 'Martin Henderson', 'Colin Lawrence', 'Benjamin Hollingsworth']",['Monika Mitchell']
Virgin River,2019,Ongoing,"['Drama', 'Romance']","Mel is taken aback by Doc's news after they interview a new doctor. To Jack's chagrin, Todd makes a bold request. Lily makes a difficult revelation.",7.5,162,45,,Series,"['Alexandra Breckenridge', 'Martin Henderson', 'Colin Lawrence', 'Benjamin Hollingsworth']",['Martin Wood']
Virgin River,2019,Ongoing,"['Drama', 'Romance']",Jack and Mel argue about their relationship and their future while competing in the Lumberjack Games. Brie opens up about her painful breakup.,7.6,160,42,,Series,"['Alexandra Breckenridge', 'Martin Henderson', 'Colin Lawrence', 'Benjamin Hollingsworth']",['Martin Wood']
Virgin River,2019,Ongoing,"['Drama', 'Romance']",Jack meets with a custody attorney and his stress begins to overwhelm him. Brady gets brought in for questioning. Muriel offers Doc advice.,7.4,159,44,,Series,"['Alexandra Breckenridge', 'Martin Henderson', 'Colin Lawrence', 'Benjamin Hollingsworth']",['Gail Harvey']
Virgin River,2019,Ongoing,"['Drama', 'Romance']","Heartbroken, Mel heads to LA to support Joey at her divorce hearing. More of Jack's memories return. Lily asks her friends to care for her children.",7.9,167,44,,Series,"['Alexandra Breckenridge', 'Martin Henderson', 'Colin Lawrence', 'Benjamin Hollingsworth']",['Gail Harvey']
Virgin River,2019,Ongoing,"['Drama', 'Romance']",The town says goodbye to a dear friend. Brie suffers a loss of her own. Mel and Jack discuss what should happen with their relationship.,7.8,157,48,,Series,"['Alexandra Breckenridge', 'Martin Henderson', 'Colin Lawrence', 'Benjamin Hollingsworth']",['Martin Wood']
Virgin River,2019,Ongoing,"['Drama', 'Romance']",Jack makes a momentous decision as Mel grapples with how to share surprising news. Doc is plagued with concern. Preacher meets with Paige's friend.,7.3,190,,,Series,"['Alexandra Breckenridge', 'Martin Henderson', 'Colin Lawrence', 'Benjamin Hollingsworth']",['Martin Wood']
Zero Chill,2021,Ongoing,"['Comedy', 'Drama', 'Family']",Mac is off to a rocky start on his quest to impress his new team; a lonely Kayla makes a connection with a mysterious skater.,7.0,54,34,,Series,"['Grace Beedie', 'Dakota Taylor', 'Jeremias Amoore', 'Anastázie Chocholatá']",['Angelo Abela']
Zero Chill,2021,Ongoing,"['Comedy', 'Drama', 'Family']","Kayla learns unexpected things about Ava and Sky, while trying to unmask the mystery skater; Sky opens up to Mac about her past.",6.6,41,28,,Series,"['Grace Beedie', 'Dakota Taylor', 'Jeremias Amoore', 'Anastázie Chocholatá']",['Angelo Abela']
Zero Chill,2021,Ongoing,"['Comedy', 'Drama', 'Family']","Mac wants to bond with his teammates, but his arrogance keeps getting in the way; Kayla tracks down Jacob; Ava's mother prepares a special surprise.",6.9,38,31,,Series,"['Grace Beedie', 'Dakota Taylor', 'Jeremias Amoore', 'Anastázie Chocholatá']",['Angelo Abela']
